Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Volkswagen,Passat,2020,2.7,Electric,Automatic,295220,2,3,10395
Mercedes,GLA,2018,1.5,Hybrid,Manual,116026,4,2,9679
Volkswagen,Golf,2003,1.7,Petrol,Manual,30019,4,3,6099
Audi,A3,2002,1.6,Diesel,Semi-Automatic,125878,2,3,3782
Toyota,Camry,2009,1.3,Diesel,Manual,76365,5,4,6572
Hyundai,Elantra,2009,1.7,Diesel,Semi-Automatic,235964,4,5,3780
Ford,Explorer,2016,4.0,Hybrid,Automatic,135623,2,4,12687
Chevrolet,Equinox,2013,3.7,Petrol,Semi-Automatic,281563,3,4,6068
Hyundai,Elantra,2008,1.2,Petrol,Automatic,143247,2,2,6335
Kia,Optima,2008,3.9,Electric,Automatic,172054,4,4,10458
Mercedes,C-Class,2000,4.7,Petrol,Automatic,43400,5,2,9432
Mercedes,E-Class,2002,2.6,Petrol,Manual,24516,2,3,6809
Honda,Accord,2008,3.2,Petrol,Automatic,73503,5,4,9729
Chevrolet,Malibu,2008,2.2,Hybrid,Manual,55505,4,2,8589
Ford,Focus,2002,4.5,Hybrid,Semi-Automatic,28572,5,2,9628
Hyundai,Sonata,2011,3.3,Diesel,Automatic,68886,5,2,10822
Ford,Focus,2010,3.9,Hybrid,Automatic,42902,3,5,12641
Chevrolet,Malibu,2010,3.1,Petrol,Semi-Automatic,206820,2,3,6063
Mercedes,GLA,2017,2.3,Petrol,Manual,118731,2,4,9125
Volkswagen,Tiguan,2020,2.3,Diesel,Manual,13991,5,5,12120
Mercedes,C-Class,2022,4.9,Diesel,Semi-Automatic,191411,5,3,11771
Mercedes,GLA,2009,3.8,Electric,Automatic,188809,4,5,10323
BMW,3 Series,2014,3.8,Petrol,Manual,190083,3,3,8298
Mercedes,C-Class,2019,3.0,Diesel,Automatic,186644,4,2,10567
Hyundai,Sonata,2001,3.5,Electric,Manual,256586,2,5,4768
Ford,Fiesta,2004,1.8,Hybrid,Manual,9861,2,2,7902
Ford,Fiesta,2020,2.7,Diesel,Manual,112323,4,2,10553
Chevrolet,Equinox,2016,3.9,Hybrid,Manual,72828,3,1,12343
Kia,Rio,2010,3.0,Electric,Automatic,167567,4,5,10248
Kia,Sportage,2015,4.0,Hybrid,Semi-Automatic,161451,5,5,10370
Mercedes,GLA,2010,1.8,Petrol,Automatic,223845,2,3,5923
Hyundai,Sonata,2023,1.2,Electric,Manual,157234,2,3,11055
Chevrolet,Equinox,2009,1.8,Hybrid,Automatic,164435,4,1,7811
Hyundai,Elantra,2006,2.7,Petrol,Manual,103173,4,4,6536
Audi,A4,2003,2.2,Petrol,Automatic,299227,3,5,2715
Kia,Optima,2002,3.7,Electric,Automatic,99914,4,5,9901
Chevrolet,Impala,2010,3.7,Diesel,Manual,147961,3,2,7840
Honda,Accord,2017,3.7,Hybrid,Semi-Automatic,128266,5,3,11334
Audi,A4,2009,2.4,Diesel,Manual,263797,2,5,3924
Hyundai,Tucson,2007,3.9,Electric,Automatic,213643,4,5,9327
Mercedes,GLA,2010,1.8,Electric,Semi-Automatic,207513,2,3,6749
Honda,Civic,2022,3.0,Hybrid,Automatic,1140,5,5,16177
BMW,3 Series,2007,1.5,Electric,Manual,138200,3,1,6936
Chevrolet,Malibu,2005,1.5,Electric,Manual,42171,3,4,8256
Hyundai,Tucson,2001,1.6,Diesel,Manual,209694,5,5,2000
Mercedes,E-Class,2005,2.8,Electric,Semi-Automatic,234312,5,3,5713
Kia,Rio,2016,2.0,Diesel,Semi-Automatic,234734,4,4,6205
Chevrolet,Equinox,2022,1.3,Diesel,Semi-Automatic,32421,4,1,11351
Mercedes,C-Class,2022,4.5,Petrol,Manual,78604,5,3,13627
Kia,Sportage,2012,1.7,Diesel,Manual,215694,2,5,5086
Ford,Explorer,2015,4.3,Electric,Manual,147409,3,1,11951
Chevrolet,Impala,2006,1.0,Petrol,Automatic,292875,3,3,2542
Honda,Accord,2009,4.6,Diesel,Automatic,129335,3,1,10313
Toyota,Corolla,2019,4.2,Electric,Semi-Automatic,253093,5,4,10938
Toyota,Camry,2007,3.9,Electric,Manual,187853,5,2,8342
Audi,A4,2018,3.7,Electric,Manual,181383,4,3,11572
Ford,Fiesta,2014,4.7,Petrol,Semi-Automatic,85892,5,2,11282
Audi,A3,2016,4.4,Diesel,Manual,131640,3,1,10667
BMW,X5,2009,2.3,Hybrid,Semi-Automatic,229415,4,1,5511
Mercedes,GLA,2013,3.0,Electric,Manual,93855,2,5,11122
Hyundai,Sonata,2008,4.7,Petrol,Manual,115077,3,2,8898
Chevrolet,Impala,2020,3.6,Petrol,Manual,135042,4,4,10999
BMW,X5,2000,3.8,Diesel,Automatic,18836,4,4,9023
Ford,Focus,2008,4.8,Electric,Manual,190302,5,1,9493
Audi,Q5,2021,3.7,Hybrid,Manual,107030,3,5,12959
Kia,Optima,2011,2.1,Diesel,Semi-Automatic,81075,2,2,7878
Audi,A3,2004,3.5,Electric,Semi-Automatic,284771,4,3,5104
Kia,Optima,2018,2.0,Diesel,Automatic,214831,3,1,8703
Chevrolet,Malibu,2017,1.5,Petrol,Manual,257638,3,2,5547
BMW,5 Series,2003,2.8,Petrol,Automatic,176448,5,5,5771
Audi,A4,2014,1.8,Petrol,Automatic,106052,3,4,9478
BMW,3 Series,2018,2.3,Electric,Semi-Automatic,99243,3,3,11815
Volkswagen,Passat,2009,3.3,Petrol,Manual,72733,2,3,8645
Volkswagen,Golf,2000,1.9,Hybrid,Automatic,36648,5,3,7767
Kia,Optima,2015,1.8,Diesel,Semi-Automatic,89738,2,3,8605
Mercedes,GLA,2008,4.0,Hybrid,Semi-Automatic,13396,3,5,11232
Audi,A3,2014,2.9,Diesel,Automatic,1197,2,5,12676
Chevrolet,Impala,2008,3.0,Diesel,Manual,63631,5,5,8227
Honda,Civic,2012,3.7,Electric,Automatic,74879,2,5,13402
Audi,A3,2010,1.6,Hybrid,Automatic,282744,3,2,5545
Kia,Optima,2004,2.8,Electric,Manual,27807,3,4,9543
Hyundai,Elantra,2020,3.9,Hybrid,Manual,229197,4,3,10416
Chevrolet,Equinox,2011,1.4,Petrol,Manual,108001,2,2,6639
BMW,5 Series,2012,1.7,Hybrid,Semi-Automatic,122057,3,2,7958
Volkswagen,Tiguan,2017,4.0,Petrol,Automatic,229856,2,2,10102
Volkswagen,Tiguan,2017,5.0,Electric,Manual,292452,3,4,10350
BMW,X5,2023,1.6,Electric,Automatic,240278,3,5,11294
Toyota,Corolla,2020,1.9,Electric,Automatic,27280,4,3,14954
Volkswagen,Tiguan,2012,3.3,Hybrid,Automatic,236234,2,4,8775
Toyota,Corolla,2003,2.6,Electric,Manual,192971,2,1,5740
BMW,X5,2020,1.6,Electric,Manual,111811,4,5,11463
Toyota,Corolla,2014,2.8,Hybrid,Automatic,190214,5,2,9795
Hyundai,Sonata,2016,3.4,Hybrid,Semi-Automatic,65234,5,5,11995
Toyota,Corolla,2005,3.7,Hybrid,Manual,180656,2,2,6686
Chevrolet,Impala,2006,4.8,Hybrid,Automatic,92339,2,3,11353
Honda,Civic,2011,2.7,Petrol,Semi-Automatic,298055,3,3,4138
Kia,Rio,2009,2.9,Hybrid,Automatic,174884,4,5,8702
Hyundai,Elantra,2022,3.6,Electric,Manual,538,2,1,16289
Kia,Rio,2007,3.4,Electric,Semi-Automatic,256558,2,4,6468
Audi,Q5,2013,3.2,Petrol,Semi-Automatic,254892,4,5,6102
Ford,Fiesta,2012,2.8,Petrol,Automatic,205270,3,2,7894
Volkswagen,Passat,2017,4.5,Electric,Semi-Automatic,276657,4,1,10166
Kia,Optima,2014,1.4,Electric,Manual,36243,2,5,10975
Hyundai,Tucson,2022,1.6,Petrol,Semi-Automatic,203941,2,5,8221
Kia,Sportage,2022,2.8,Hybrid,Manual,281596,5,5,8868
Volkswagen,Golf,2022,4.1,Hybrid,Semi-Automatic,15423,4,3,15491
Toyota,Camry,2012,1.3,Hybrid,Automatic,54865,3,1,10402
Toyota,RAV4,2004,3.1,Petrol,Semi-Automatic,201488,4,4,4370
Hyundai,Elantra,2000,2.5,Electric,Semi-Automatic,232662,4,1,3946
Mercedes,E-Class,2011,1.1,Hybrid,Semi-Automatic,78434,2,2,7931
BMW,X5,2008,3.9,Hybrid,Automatic,282296,3,1,7254
Volkswagen,Passat,2008,1.0,Petrol,Semi-Automatic,260882,3,3,2282
Volkswagen,Tiguan,2017,4.2,Diesel,Automatic,59104,2,3,13717
BMW,3 Series,2008,2.0,Petrol,Manual,52053,3,2,7458
Hyundai,Elantra,2015,1.6,Petrol,Automatic,202711,3,1,7645
Honda,Civic,2003,1.3,Petrol,Semi-Automatic,19031,3,2,5919
Volkswagen,Tiguan,2021,2.9,Electric,Semi-Automatic,275340,3,4,9793
Ford,Focus,2012,2.4,Petrol,Manual,29289,2,4,9514
Kia,Sportage,2016,2.0,Petrol,Manual,131907,3,3,8261
Audi,Q5,2006,1.3,Petrol,Semi-Automatic,296079,4,4,2000
Volkswagen,Tiguan,2002,1.9,Diesel,Automatic,8589,4,5,7928
Hyundai,Tucson,2014,4.5,Petrol,Semi-Automatic,252087,4,4,7758
BMW,5 Series,2004,2.9,Hybrid,Automatic,270174,5,5,5296
Toyota,Corolla,2003,2.1,Electric,Semi-Automatic,194695,5,5,5206
Hyundai,Tucson,2011,4.4,Diesel,Automatic,132007,3,3,10659
BMW,5 Series,2018,3.9,Electric,Manual,216924,5,3,11061
Volkswagen,Golf,2015,2.4,Electric,Manual,89366,2,2,11212
Kia,Sportage,2006,3.6,Hybrid,Semi-Automatic,59893,5,1,9302
Chevrolet,Malibu,2009,3.1,Hybrid,Automatic,254527,5,1,7309
Mercedes,E-Class,2013,2.7,Diesel,Semi-Automatic,60631,4,3,9487
BMW,5 Series,2020,3.4,Petrol,Manual,29249,2,4,12915
Kia,Optima,2006,1.0,Diesel,Manual,199849,5,4,2903
Toyota,Corolla,2008,3.8,Petrol,Semi-Automatic,226997,3,5,5760
Audi,A4,2010,3.0,Electric,Automatic,46648,5,3,12667
Ford,Explorer,2020,4.9,Diesel,Automatic,113616,3,3,14227
Audi,Q5,2004,3.4,Diesel,Semi-Automatic,272359,4,1,3252
Volkswagen,Passat,2005,1.1,Diesel,Semi-Automatic,135809,4,4,3983
BMW,X5,2012,4.3,Petrol,Manual,153919,5,2,8921
BMW,5 Series,2018,3.9,Electric,Automatic,157385,2,2,13752
Hyundai,Tucson,2010,2.4,Hybrid,Manual,235850,4,4,5783
Hyundai,Sonata,2013,1.2,Petrol,Automatic,222661,3,4,6246
Hyundai,Tucson,2009,2.1,Electric,Automatic,139275,5,5,9614
Audi,A3,2019,1.7,Hybrid,Automatic,188824,4,2,10223
Audi,A4,2009,4.5,Petrol,Automatic,119948,3,3,10401
Kia,Optima,2006,3.0,Diesel,Manual,110232,2,3,6695
Volkswagen,Passat,2000,2.2,Hybrid,Manual,299016,3,4,2000
BMW,5 Series,2005,4.3,Hybrid,Semi-Automatic,80192,3,5,9296
Honda,Accord,2002,1.5,Hybrid,Automatic,75593,2,3,7188
Honda,CR-V,2017,3.2,Hybrid,Automatic,93604,4,5,13027
Mercedes,E-Class,2023,3.2,Diesel,Automatic,122492,2,4,13250
Honda,CR-V,2004,4.8,Diesel,Manual,252834,3,1,5043
Hyundai,Elantra,2005,1.3,Electric,Manual,256169,4,5,3776
BMW,3 Series,2023,2.0,Hybrid,Automatic,174102,5,5,12017
Toyota,Corolla,2011,3.3,Petrol,Manual,124745,2,3,8205
Volkswagen,Golf,2002,3.6,Petrol,Manual,256231,5,4,3175
Audi,Q5,2023,2.2,Electric,Semi-Automatic,210515,4,4,10989
Ford,Focus,2005,1.1,Petrol,Semi-Automatic,171245,4,4,3275
Kia,Sportage,2009,2.1,Electric,Semi-Automatic,141534,3,4,8069
Honda,Accord,2013,4.2,Hybrid,Manual,26112,3,3,12677
Volkswagen,Golf,2002,2.9,Hybrid,Semi-Automatic,272485,2,5,3150
Ford,Focus,2012,4.0,Petrol,Automatic,112245,4,3,10955
Hyundai,Sonata,2004,1.9,Petrol,Manual,13436,3,3,6931
Audi,Q5,2015,3.7,Hybrid,Manual,72661,4,4,11846
Mercedes,E-Class,2009,3.6,Electric,Manual,51350,5,1,11373
Mercedes,C-Class,2016,2.4,Hybrid,Automatic,289394,2,2,8012
Chevrolet,Impala,2023,1.7,Diesel,Semi-Automatic,109838,3,2,10503
BMW,3 Series,2005,3.5,Petrol,Manual,201139,5,3,5077
BMW,X5,2005,1.5,Hybrid,Manual,206385,3,1,3972
Ford,Fiesta,2014,4.0,Diesel,Semi-Automatic,77561,2,4,10748
Audi,Q5,2012,2.5,Electric,Semi-Automatic,122181,3,4,9756
Audi,A4,2017,4.8,Petrol,Manual,36286,4,4,13274
Ford,Explorer,2002,3.2,Electric,Semi-Automatic,8437,5,1,9731
Audi,A3,2003,2.8,Hybrid,Automatic,239707,2,5,5505
Volkswagen,Golf,2007,4.6,Electric,Semi-Automatic,62688,3,4,11546
Chevrolet,Impala,2000,3.5,Hybrid,Automatic,286192,2,5,4376
Mercedes,C-Class,2002,1.2,Petrol,Manual,211790,4,3,2000
Mercedes,C-Class,2016,2.8,Hybrid,Automatic,72677,5,3,12746
Chevrolet,Malibu,2013,2.7,Electric,Automatic,232392,5,5,9552
BMW,X5,2002,1.9,Petrol,Semi-Automatic,17843,2,3,6243
Honda,CR-V,2020,1.1,Electric,Automatic,271910,5,5,9261
Volkswagen,Passat,2004,1.7,Electric,Semi-Automatic,209392,3,2,4812
BMW,5 Series,2023,3.3,Hybrid,Semi-Automatic,90330,4,1,13493
Mercedes,E-Class,2023,3.1,Hybrid,Automatic,183781,3,1,12924
Audi,A4,2004,1.6,Petrol,Semi-Automatic,225565,4,3,2388
Honda,Accord,2006,2.5,Electric,Semi-Automatic,150504,4,3,7389
Chevrolet,Equinox,2022,3.6,Hybrid,Semi-Automatic,217850,2,5,10943
Toyota,Camry,2008,2.5,Diesel,Semi-Automatic,223819,4,4,4523
Hyundai,Sonata,2004,2.4,Petrol,Manual,40005,2,1,6899
BMW,3 Series,2015,4.8,Diesel,Manual,169599,3,4,10008
Chevrolet,Malibu,2021,1.3,Electric,Semi-Automatic,199703,3,4,9705
Kia,Rio,2010,1.3,Hybrid,Semi-Automatic,202284,5,3,5354
Hyundai,Elantra,2018,2.4,Hybrid,Automatic,82051,3,4,12758
Chevrolet,Impala,2004,3.8,Electric,Manual,8659,5,3,10926
Toyota,Camry,2004,3.5,Diesel,Semi-Automatic,97304,5,3,6853
Ford,Explorer,2002,4.0,Diesel,Automatic,119893,5,4,7802
Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,5,6092
Ford,Explorer,2005,3.8,Electric,Automatic,189411,4,4,9111
Volkswagen,Golf,2022,2.3,Electric,Automatic,137767,3,5,13744
Hyundai,Sonata,2008,1.4,Electric,Semi-Automatic,192410,5,3,6051
Chevrolet,Malibu,2011,4.1,Electric,Automatic,171809,2,1,11563
Mercedes,C-Class,2014,3.7,Diesel,Semi-Automatic,32883,5,1,11342
Honda,Accord,2004,2.0,Petrol,Semi-Automatic,189384,2,2,3512
BMW,5 Series,2021,2.4,Electric,Manual,70665,5,2,13386
Audi,Q5,2008,2.7,Hybrid,Automatic,53414,2,2,10631
Chevrolet,Malibu,2018,4.9,Electric,Automatic,192169,5,3,14056
Hyundai,Sonata,2014,4.2,Diesel,Automatic,43329,4,1,13133
Volkswagen,Golf,2021,2.4,Petrol,Automatic,115092,2,1,11998
Kia,Optima,2018,1.2,Electric,Manual,246762,2,4,7764
BMW,3 Series,2008,2.1,Petrol,Automatic,266257,5,1,4774
Ford,Focus,2010,2.5,Hybrid,Semi-Automatic,268750,2,4,5225
Audi,A3,2013,3.5,Petrol,Semi-Automatic,97089,3,5,9558
Chevrolet,Impala,2017,4.9,Petrol,Semi-Automatic,117104,4,3,11757
BMW,5 Series,2002,4.0,Diesel,Automatic,36513,4,1,9469
BMW,5 Series,2013,1.8,Diesel,Manual,269377,3,2,4412
Toyota,RAV4,2009,4.8,Electric,Manual,113441,4,1,11331
Volkswagen,Golf,2019,4.6,Electric,Manual,174945,4,2,12901
Volkswagen,Tiguan,2017,4.9,Hybrid,Manual,241010,4,2,10279
Ford,Explorer,2012,1.7,Diesel,Semi-Automatic,18936,2,4,9021
Toyota,Corolla,2017,1.1,Petrol,Semi-Automatic,15401,4,5,9991
Ford,Focus,2003,2.0,Electric,Automatic,63899,3,2,9222
Hyundai,Tucson,2013,3.7,Diesel,Semi-Automatic,250130,3,5,6697
Audi,A3,2007,3.6,Diesel,Automatic,19512,4,3,10909
Hyundai,Sonata,2003,3.5,Diesel,Semi-Automatic,97355,3,3,6552
Toyota,Corolla,2017,1.6,Electric,Semi-Automatic,46400,3,3,11872
Audi,A3,2005,4.8,Petrol,Manual,133567,5,2,7728
Chevrolet,Impala,2007,2.0,Electric,Semi-Automatic,109453,3,3,8010
Kia,Optima,2011,1.1,Diesel,Automatic,220420,2,4,5591
Volkswagen,Golf,2011,1.8,Electric,Manual,265824,2,2,5883
Volkswagen,Tiguan,2008,2.6,Electric,Automatic,271567,2,2,7168
Toyota,Corolla,2022,4.9,Petrol,Manual,286358,2,3,9872
Ford,Focus,2019,3.1,Diesel,Manual,64185,3,3,11616
Audi,Q5,2004,2.5,Petrol,Automatic,261129,5,3,4077
Chevrolet,Equinox,2000,2.6,Electric,Semi-Automatic,166188,2,4,5376
Chevrolet,Equinox,2018,4.1,Petrol,Manual,151138,4,2,10577
Honda,CR-V,2001,4.5,Hybrid,Manual,164665,2,2,6606
Audi,Q5,2021,4.2,Diesel,Manual,16425,2,3,14271
BMW,X5,2002,3.9,Electric,Automatic,207519,5,1,7949
BMW,3 Series,2023,1.2,Hybrid,Manual,304,2,1,13193
Chevrolet,Equinox,2021,1.0,Petrol,Semi-Automatic,263836,4,3,6123
Volkswagen,Passat,2002,3.1,Diesel,Automatic,153222,5,2,6235
Volkswagen,Passat,2018,3.5,Electric,Manual,44918,4,3,14101
Chevrolet,Impala,2023,3.5,Electric,Manual,186677,2,4,12766
BMW,3 Series,2020,2.5,Hybrid,Automatic,170703,5,4,11685
Volkswagen,Tiguan,2003,3.5,Petrol,Manual,288928,3,3,2721
Chevrolet,Equinox,2020,1.6,Petrol,Automatic,46525,5,1,12269
Honda,CR-V,2001,4.7,Petrol,Automatic,146954,2,1,7660
Volkswagen,Tiguan,2000,2.2,Electric,Semi-Automatic,237559,4,5,3548
BMW,X5,2015,3.7,Petrol,Automatic,89557,4,4,12008
Volkswagen,Tiguan,2019,4.7,Hybrid,Automatic,292565,5,5,11148
Volkswagen,Golf,2010,2.5,Diesel,Manual,296480,2,3,3670
BMW,X5,2002,3.3,Diesel,Semi-Automatic,244368,3,5,3112
Hyundai,Elantra,2005,2.7,Hybrid,Automatic,45510,2,3,9889
Kia,Rio,2022,4.7,Electric,Manual,170105,5,3,13997
Volkswagen,Golf,2011,2.5,Electric,Automatic,94439,2,3,11511
Volkswagen,Passat,2022,2.6,Diesel,Automatic,141331,5,1,11973
Hyundai,Sonata,2021,4.0,Diesel,Manual,105522,5,5,12289
Honda,Accord,2009,2.7,Petrol,Manual,217224,4,5,5155
Volkswagen,Passat,2011,1.2,Diesel,Semi-Automatic,144904,5,5,5701
BMW,3 Series,2009,1.9,Petrol,Semi-Automatic,22913,3,2,8241
Audi,Q5,2008,2.8,Diesel,Automatic,227755,5,3,6244
Ford,Fiesta,2023,3.8,Electric,Automatic,216961,5,4,13960
Ford,Focus,2003,3.2,Petrol,Semi-Automatic,85005,3,1,6499
Kia,Rio,2021,3.6,Petrol,Automatic,79401,4,3,13911
Ford,Focus,2002,3.3,Hybrid,Manual,26697,3,5,8466
Audi,A3,2022,3.0,Diesel,Manual,265987,5,5,8380
Toyota,RAV4,2015,2.0,Diesel,Manual,125458,2,3,8090
Honda,CR-V,2009,5.0,Petrol,Semi-Automatic,243936,4,5,6921
Chevrolet,Malibu,2006,4.8,Petrol,Manual,252463,4,5,5650
Honda,CR-V,2022,3.5,Petrol,Semi-Automatic,209432,4,5,10011
Mercedes,GLA,2001,1.4,Diesel,Manual,105088,2,1,3698
Honda,Accord,2023,1.9,Electric,Automatic,31933,2,3,15761
Hyundai,Elantra,2011,3.9,Electric,Manual,58298,4,5,12134
Chevrolet,Equinox,2021,3.1,Diesel,Manual,277817,5,3,7943
Volkswagen,Tiguan,2014,1.1,Diesel,Automatic,89812,3,2,9103
Honda,Accord,2019,2.6,Electric,Automatic,30363,2,1,15292
Kia,Sportage,2015,3.2,Hybrid,Semi-Automatic,113979,5,3,10520
Chevrolet,Malibu,2021,3.1,Electric,Automatic,159076,4,4,13818
Ford,Focus,2003,4.6,Electric,Manual,177271,3,4,8054
Mercedes,C-Class,2012,3.6,Electric,Semi-Automatic,23912,3,3,12821
Audi,A3,2017,2.1,Petrol,Manual,139597,4,1,8508
Ford,Fiesta,2007,1.3,Hybrid,Manual,32956,5,4,7840
Kia,Rio,2018,2.9,Electric,Semi-Automatic,98160,2,4,12436
Mercedes,GLA,2021,4.8,Diesel,Automatic,181278,2,4,13074
Kia,Sportage,2020,1.1,Electric,Automatic,213443,5,4,10431
Kia,Rio,2023,3.8,Diesel,Semi-Automatic,250150,5,4,9797
Hyundai,Elantra,2001,1.7,Diesel,Manual,96682,3,2,4166
Hyundai,Sonata,2009,2.5,Electric,Manual,148855,5,2,8322
Volkswagen,Golf,2000,2.7,Petrol,Manual,245909,4,4,2000
BMW,3 Series,2012,4.0,Diesel,Semi-Automatic,185073,5,1,7998
Audi,A3,2008,1.1,Petrol,Semi-Automatic,248569,5,5,2628
BMW,5 Series,2014,1.1,Diesel,Manual,219921,2,2,5001
Audi,A4,2019,1.0,Diesel,Semi-Automatic,251842,5,1,5763
BMW,5 Series,2010,4.4,Petrol,Automatic,100916,5,1,10981
Audi,Q5,2006,4.2,Hybrid,Manual,175387,5,3,7592
Honda,Accord,2017,2.6,Diesel,Manual,279367,5,1,6212
Ford,Fiesta,2006,4.3,Electric,Automatic,128881,3,1,11122
Honda,CR-V,2021,1.3,Hybrid,Automatic,295825,4,5,8283
Honda,Civic,2001,2.7,Electric,Automatic,74508,4,1,9109
Toyota,Camry,2009,1.8,Electric,Semi-Automatic,74482,4,1,9110
Toyota,RAV4,2016,2.7,Electric,Semi-Automatic,150220,4,5,10595
Ford,Fiesta,2014,3.2,Petrol,Automatic,253316,3,5,7933
Toyota,RAV4,2016,1.6,Diesel,Semi-Automatic,41061,5,1,9678
Volkswagen,Tiguan,2023,3.6,Petrol,Automatic,45801,4,4,15183
Volkswagen,Tiguan,2020,4.4,Diesel,Automatic,132926,4,5,13341
Kia,Optima,2012,4.7,Petrol,Automatic,124920,4,4,11401
Hyundai,Elantra,2016,1.4,Diesel,Manual,132100,2,4,7658
Volkswagen,Passat,2023,2.9,Electric,Semi-Automatic,142524,3,3,13049
BMW,5 Series,2018,2.8,Petrol,Semi-Automatic,23722,5,5,11825
BMW,3 Series,2002,1.4,Petrol,Manual,122799,2,1,3644
BMW,5 Series,2006,2.5,Electric,Automatic,57444,2,1,10751
Hyundai,Elantra,2004,3.4,Hybrid,Automatic,90326,4,3,9393
Toyota,Corolla,2010,3.7,Hybrid,Automatic,236872,2,2,8562
Mercedes,E-Class,2005,4.2,Electric,Automatic,207548,4,2,9149
Kia,Optima,2012,2.9,Hybrid,Manual,259817,3,5,6403
Ford,Fiesta,2013,4.9,Petrol,Manual,208159,4,1,8736
Audi,A3,2012,4.0,Electric,Semi-Automatic,92692,3,2,11846
Audi,A4,2005,4.2,Hybrid,Manual,116904,4,3,8461
Volkswagen,Golf,2014,4.3,Electric,Manual,175693,3,4,11086
BMW,5 Series,2002,3.2,Petrol,Semi-Automatic,215104,2,4,3597
Toyota,Camry,2012,4.4,Electric,Manual,94413,3,4,12211
Audi,A4,2005,1.8,Hybrid,Semi-Automatic,166364,2,3,5072
BMW,5 Series,2014,3.7,Hybrid,Semi-Automatic,267929,4,1,7641
Volkswagen,Tiguan,2017,3.1,Electric,Automatic,160266,5,1,12594
Chevrolet,Equinox,2016,4.9,Diesel,Semi-Automatic,226208,5,3,9275
Volkswagen,Golf,2005,1.6,Hybrid,Automatic,92903,3,1,7841
Chevrolet,Impala,2010,2.7,Hybrid,Automatic,892,2,3,12282
Volkswagen,Passat,2021,5.0,Petrol,Manual,183606,4,1,11727
Volkswagen,Tiguan,2011,1.4,Petrol,Semi-Automatic,712,5,2,8785
Chevrolet,Equinox,2005,2.5,Electric,Manual,296474,3,2,4170
