Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count
Ford,Explorer,2016,4.0,Hybrid,Automatic,135623,2,4
Chevrolet,Equinox,2013,3.7,Petrol,Semi-Automatic,281563,3,4
Hyundai,Elantra,2008,1.2,Petrol,Automatic,143247,2,2
Kia,Optima,2008,3.9,Electric,Automatic,172054,4,4
Mercedes,C-Class,2000,4.7,Petrol,Automatic,43400,5,2
Mercedes,E-Class,2002,2.6,Petrol,Manual,24516,2,3
Honda,Accord,2008,3.2,Petrol,Automatic,73503,5,4
Chevrolet,Malibu,2008,2.2,Hybrid,Manual,55505,4,2
Ford,Focus,2002,4.5,Hybrid,Semi-Automatic,28572,5,2
Hyundai,Sonata,2011,3.3,Diesel,Automatic,68886,5,2
Ford,Focus,2010,3.9,Hybrid,Automatic,42902,3,5
Chevrolet,Malibu,2010,3.1,Petrol,Semi-Automatic,206820,2,3
Mercedes,GLA,2017,2.3,Petrol,Manual,118731,2,4
Volkswagen,Tiguan,2020,2.3,Diesel,Manual,13991,5,5
Mercedes,C-Class,2022,4.9,Diesel,Semi-Automatic,191411,5,3
Mercedes,GLA,2009,3.8,Electric,Automatic,188809,4,5
BMW,3 Series,2014,3.8,Petrol,Manual,190083,3,3
Mercedes,C-Class,2019,3.0,Diesel,Automatic,186644,4,2
Hyundai,Sonata,2001,3.5,Electric,Manual,256586,2,5
Ford,Fiesta,2004,1.8,Hybrid,Manual,9861,2,2
Ford,Fiesta,2020,2.7,Diesel,Manual,112323,4,2
Chevrolet,Equinox,2016,3.9,Hybrid,Manual,72828,3,1
Kia,Rio,2010,3.0,Electric,Automatic,167567,4,5
Kia,Sportage,2015,4.0,Hybrid,Semi-Automatic,161451,5,5
Mercedes,GLA,2010,1.8,Petrol,Automatic,223845,2,3
Hyundai,Sonata,2023,1.2,Electric,Manual,157234,2,3
Chevrolet,Equinox,2009,1.8,Hybrid,Automatic,164435,4,1
Hyundai,Elantra,2006,2.7,Petrol,Manual,103173,4,4
Audi,A4,2003,2.2,Petrol,Automatic,299227,3,5
Kia,Optima,2002,3.7,Electric,Automatic,99914,4,5
Chevrolet,Impala,2010,3.7,Diesel,Manual,147961,3,2
Honda,Accord,2017,3.7,Hybrid,Semi-Automatic,128266,5,3
Audi,A4,2009,2.4,Diesel,Manual,263797,2,5
Hyundai,Tucson,2007,3.9,Electric,Automatic,213643,4,5
Mercedes,GLA,2010,1.8,Electric,Semi-Automatic,207513,2,3
Honda,Civic,2022,3.0,Hybrid,Automatic,1140,5,5
BMW,3 Series,2007,1.5,Electric,Manual,138200,3,1
Chevrolet,Malibu,2005,1.5,Electric,Manual,42171,3,4
Hyundai,Tucson,2001,1.6,Diesel,Manual,209694,5,5
Mercedes,E-Class,2005,2.8,Electric,Semi-Automatic,234312,5,3
Kia,Rio,2016,2.0,Diesel,Semi-Automatic,234734,4,4
Chevrolet,Equinox,2022,1.3,Diesel,Semi-Automatic,32421,4,1
Mercedes,C-Class,2022,4.5,Petrol,Manual,78604,5,3
Kia,Sportage,2012,1.7,Diesel,Manual,215694,2,5
Ford,Explorer,2015,4.3,Electric,Manual,147409,3,1
Chevrolet,Impala,2006,1.0,Petrol,Automatic,292875,3,3
Honda,Accord,2009,4.6,Diesel,Automatic,129335,3,1
Toyota,Corolla,2019,4.2,Electric,Semi-Automatic,253093,5,4
Toyota,Camry,2007,3.9,Electric,Manual,187853,5,2
Audi,A4,2018,3.7,Electric,Manual,181383,4,3
Ford,Fiesta,2014,4.7,Petrol,Semi-Automatic,85892,5,2
Audi,A3,2016,4.4,Diesel,Manual,131640,3,1
BMW,X5,2009,2.3,Hybrid,Semi-Automatic,229415,4,1
Mercedes,GLA,2013,3.0,Electric,Manual,93855,2,5
Hyundai,Sonata,2008,4.7,Petrol,Manual,115077,3,2
Chevrolet,Impala,2020,3.6,Petrol,Manual,135042,4,4
BMW,X5,2000,3.8,Diesel,Automatic,18836,4,4
Ford,Focus,2008,4.8,Electric,Manual,190302,5,1
Audi,Q5,2021,3.7,Hybrid,Manual,107030,3,5
Kia,Optima,2011,2.1,Diesel,Semi-Automatic,81075,2,2
Audi,A3,2004,3.5,Electric,Semi-Automatic,284771,4,3
Kia,Optima,2018,2.0,Diesel,Automatic,214831,3,1
Chevrolet,Malibu,2017,1.5,Petrol,Manual,257638,3,2
BMW,5 Series,2003,2.8,Petrol,Automatic,176448,5,5
Audi,A4,2014,1.8,Petrol,Automatic,106052,3,4
BMW,3 Series,2018,2.3,Electric,Semi-Automatic,99243,3,3
Volkswagen,Passat,2009,3.3,Petrol,Manual,72733,2,3
Volkswagen,Golf,2000,1.9,Hybrid,Automatic,36648,5,3
Kia,Optima,2015,1.8,Diesel,Semi-Automatic,89738,2,3
Mercedes,GLA,2008,4.0,Hybrid,Semi-Automatic,13396,3,5
Audi,A3,2014,2.9,Diesel,Automatic,1197,2,5
Chevrolet,Impala,2008,3.0,Diesel,Manual,63631,5,5
Honda,Civic,2012,3.7,Electric,Automatic,74879,2,5
Audi,A3,2010,1.6,Hybrid,Automatic,282744,3,2
Kia,Optima,2004,2.8,Electric,Manual,27807,3,4
Hyundai,Elantra,2020,3.9,Hybrid,Manual,229197,4,3
Chevrolet,Equinox,2011,1.4,Petrol,Manual,108001,2,2
BMW,5 Series,2012,1.7,Hybrid,Semi-Automatic,122057,3,2
Volkswagen,Tiguan,2017,4.0,Petrol,Automatic,229856,2,2
Volkswagen,Tiguan,2017,5.0,Electric,Manual,292452,3,4
BMW,X5,2023,1.6,Electric,Automatic,240278,3,5
Toyota,Corolla,2020,1.9,Electric,Automatic,27280,4,3
Volkswagen,Tiguan,2012,3.3,Hybrid,Automatic,236234,2,4
Toyota,Corolla,2003,2.6,Electric,Manual,192971,2,1
BMW,X5,2020,1.6,Electric,Manual,111811,4,5
Toyota,Corolla,2014,2.8,Hybrid,Automatic,190214,5,2
Hyundai,Sonata,2016,3.4,Hybrid,Semi-Automatic,65234,5,5
Toyota,Corolla,2005,3.7,Hybrid,Manual,180656,2,2
Chevrolet,Impala,2006,4.8,Hybrid,Automatic,92339,2,3
Honda,Civic,2011,2.7,Petrol,Semi-Automatic,298055,3,3
Kia,Rio,2009,2.9,Hybrid,Automatic,174884,4,5
Hyundai,Elantra,2022,3.6,Electric,Manual,538,2,1
Kia,Rio,2007,3.4,Electric,Semi-Automatic,256558,2,4
Audi,Q5,2013,3.2,Petrol,Semi-Automatic,254892,4,5
Ford,Fiesta,2012,2.8,Petrol,Automatic,205270,3,2
Volkswagen,Passat,2017,4.5,Electric,Semi-Automatic,276657,4,1
Kia,Optima,2014,1.4,Electric,Manual,36243,2,5
Hyundai,Tucson,2022,1.6,Petrol,Semi-Automatic,203941,2,5
Kia,Sportage,2022,2.8,Hybrid,Manual,281596,5,5
Volkswagen,Golf,2022,4.1,Hybrid,Semi-Automatic,15423,4,3
Toyota,Camry,2012,1.3,Hybrid,Automatic,54865,3,1
Toyota,RAV4,2004,3.1,Petrol,Semi-Automatic,201488,4,4
Hyundai,Elantra,2000,2.5,Electric,Semi-Automatic,232662,4,1
Mercedes,E-Class,2011,1.1,Hybrid,Semi-Automatic,78434,2,2
BMW,X5,2008,3.9,Hybrid,Automatic,282296,3,1
Volkswagen,Passat,2008,1.0,Petrol,Semi-Automatic,260882,3,3
Volkswagen,Tiguan,2017,4.2,Diesel,Automatic,59104,2,3
BMW,3 Series,2008,2.0,Petrol,Manual,52053,3,2
Hyundai,Elantra,2015,1.6,Petrol,Automatic,202711,3,1
Honda,Civic,2003,1.3,Petrol,Semi-Automatic,19031,3,2
Volkswagen,Tiguan,2021,2.9,Electric,Semi-Automatic,275340,3,4
Ford,Focus,2012,2.4,Petrol,Manual,29289,2,4
Kia,Sportage,2016,2.0,Petrol,Manual,131907,3,3
Audi,Q5,2006,1.3,Petrol,Semi-Automatic,296079,4,4
Volkswagen,Tiguan,2002,1.9,Diesel,Automatic,8589,4,5
Hyundai,Tucson,2014,4.5,Petrol,Semi-Automatic,252087,4,4
BMW,5 Series,2004,2.9,Hybrid,Automatic,270174,5,5
Toyota,Corolla,2003,2.1,Electric,Semi-Automatic,194695,5,5
Hyundai,Tucson,2011,4.4,Diesel,Automatic,132007,3,3
BMW,5 Series,2018,3.9,Electric,Manual,216924,5,3
Volkswagen,Golf,2015,2.4,Electric,Manual,89366,2,2
Kia,Sportage,2006,3.6,Hybrid,Semi-Automatic,59893,5,1
Chevrolet,Malibu,2009,3.1,Hybrid,Automatic,254527,5,1
Mercedes,E-Class,2013,2.7,Diesel,Semi-Automatic,60631,4,3
BMW,5 Series,2020,3.4,Petrol,Manual,29249,2,4
Kia,Optima,2006,1.0,Diesel,Manual,199849,5,4
Toyota,Corolla,2008,3.8,Petrol,Semi-Automatic,226997,3,5
Audi,A4,2010,3.0,Electric,Automatic,46648,5,3
Ford,Explorer,2020,4.9,Diesel,Automatic,113616,3,3
Audi,Q5,2004,3.4,Diesel,Semi-Automatic,272359,4,1
Volkswagen,Passat,2005,1.1,Diesel,Semi-Automatic,135809,4,4
BMW,X5,2012,4.3,Petrol,Manual,153919,5,2
BMW,5 Series,2018,3.9,Electric,Automatic,157385,2,2
Hyundai,Tucson,2010,2.4,Hybrid,Manual,235850,4,4
Hyundai,Sonata,2013,1.2,Petrol,Automatic,222661,3,4
Hyundai,Tucson,2009,2.1,Electric,Automatic,139275,5,5
Audi,A3,2019,1.7,Hybrid,Automatic,188824,4,2
Audi,A4,2009,4.5,Petrol,Automatic,119948,3,3
Kia,Optima,2006,3.0,Diesel,Manual,110232,2,3
Volkswagen,Passat,2000,2.2,Hybrid,Manual,299016,3,4
BMW,5 Series,2005,4.3,Hybrid,Semi-Automatic,80192,3,5
Honda,Accord,2002,1.5,Hybrid,Automatic,75593,2,3
Honda,CR-V,2017,3.2,Hybrid,Automatic,93604,4,5
Mercedes,E-Class,2023,3.2,Diesel,Automatic,122492,2,4
Honda,CR-V,2004,4.8,Diesel,Manual,252834,3,1
Hyundai,Elantra,2005,1.3,Electric,Manual,256169,4,5
BMW,3 Series,2023,2.0,Hybrid,Automatic,174102,5,5
Toyota,Corolla,2011,3.3,Petrol,Manual,124745,2,3
Volkswagen,Golf,2002,3.6,Petrol,Manual,256231,5,4
Audi,Q5,2023,2.2,Electric,Semi-Automatic,210515,4,4
Ford,Focus,2005,1.1,Petrol,Semi-Automatic,171245,4,4
Kia,Sportage,2009,2.1,Electric,Semi-Automatic,141534,3,4
Honda,Accord,2013,4.2,Hybrid,Manual,26112,3,3
Volkswagen,Golf,2002,2.9,Hybrid,Semi-Automatic,272485,2,5
Ford,Focus,2012,4.0,Petrol,Automatic,112245,4,3
Hyundai,Sonata,2004,1.9,Petrol,Manual,13436,3,3
Audi,Q5,2015,3.7,Hybrid,Manual,72661,4,4
Mercedes,E-Class,2009,3.6,Electric,Manual,51350,5,1
Mercedes,C-Class,2016,2.4,Hybrid,Automatic,289394,2,2
Chevrolet,Impala,2023,1.7,Diesel,Semi-Automatic,109838,3,2
BMW,3 Series,2005,3.5,Petrol,Manual,201139,5,3
BMW,X5,2005,1.5,Hybrid,Manual,206385,3,1
Ford,Fiesta,2014,4.0,Diesel,Semi-Automatic,77561,2,4
Audi,Q5,2012,2.5,Electric,Semi-Automatic,122181,3,4
Audi,A4,2017,4.8,Petrol,Manual,36286,4,4
Ford,Explorer,2002,3.2,Electric,Semi-Automatic,8437,5,1
Audi,A3,2003,2.8,Hybrid,Automatic,239707,2,5
Volkswagen,Golf,2007,4.6,Electric,Semi-Automatic,62688,3,4
Chevrolet,Impala,2000,3.5,Hybrid,Automatic,286192,2,5
Mercedes,C-Class,2002,1.2,Petrol,Manual,211790,4,3
Mercedes,C-Class,2016,2.8,Hybrid,Automatic,72677,5,3
Chevrolet,Malibu,2013,2.7,Electric,Automatic,232392,5,5
BMW,X5,2002,1.9,Petrol,Semi-Automatic,17843,2,3
Honda,CR-V,2020,1.1,Electric,Automatic,271910,5,5
Volkswagen,Passat,2004,1.7,Electric,Semi-Automatic,209392,3,2
BMW,5 Series,2023,3.3,Hybrid,Semi-Automatic,90330,4,1
Mercedes,E-Class,2023,3.1,Hybrid,Automatic,183781,3,1
Audi,A4,2004,1.6,Petrol,Semi-Automatic,225565,4,3
Honda,Accord,2006,2.5,Electric,Semi-Automatic,150504,4,3
Chevrolet,Equinox,2022,3.6,Hybrid,Semi-Automatic,217850,2,5
Toyota,Camry,2008,2.5,Diesel,Semi-Automatic,223819,4,4
Hyundai,Sonata,2004,2.4,Petrol,Manual,40005,2,1
BMW,3 Series,2015,4.8,Diesel,Manual,169599,3,4
Chevrolet,Malibu,2021,1.3,Electric,Semi-Automatic,199703,3,4
Kia,Rio,2010,1.3,Hybrid,Semi-Automatic,202284,5,3
Hyundai,Elantra,2018,2.4,Hybrid,Automatic,82051,3,4
Chevrolet,Impala,2004,3.8,Electric,Manual,8659,5,3
Toyota,Camry,2004,3.5,Diesel,Semi-Automatic,97304,5,3
Ford,Explorer,2002,4.0,Diesel,Automatic,119893,5,4
Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,5
Ford,Explorer,2005,3.8,Electric,Automatic,189411,4,4
Volkswagen,Golf,2022,2.3,Electric,Automatic,137767,3,5
Hyundai,Sonata,2008,1.4,Electric,Semi-Automatic,192410,5,3
Chevrolet,Malibu,2011,4.1,Electric,Automatic,171809,2,1
Mercedes,C-Class,2014,3.7,Diesel,Semi-Automatic,32883,5,1
Honda,Accord,2004,2.0,Petrol,Semi-Automatic,189384,2,2
BMW,5 Series,2021,2.4,Electric,Manual,70665,5,2
Audi,Q5,2008,2.7,Hybrid,Automatic,53414,2,2
Chevrolet,Malibu,2018,4.9,Electric,Automatic,192169,5,3
Hyundai,Sonata,2014,4.2,Diesel,Automatic,43329,4,1
Volkswagen,Golf,2021,2.4,Petrol,Automatic,115092,2,1
Kia,Optima,2018,1.2,Electric,Manual,246762,2,4
BMW,3 Series,2008,2.1,Petrol,Automatic,266257,5,1
Ford,Focus,2010,2.5,Hybrid,Semi-Automatic,268750,2,4
Audi,A3,2013,3.5,Petrol,Semi-Automatic,97089,3,5
Chevrolet,Impala,2017,4.9,Petrol,Semi-Automatic,117104,4,3
BMW,5 Series,2002,4.0,Diesel,Automatic,36513,4,1
BMW,5 Series,2013,1.8,Diesel,Manual,269377,3,2
Toyota,RAV4,2009,4.8,Electric,Manual,113441,4,1
Volkswagen,Golf,2019,4.6,Electric,Manual,174945,4,2
Volkswagen,Tiguan,2017,4.9,Hybrid,Manual,241010,4,2
Ford,Explorer,2012,1.7,Diesel,Semi-Automatic,18936,2,4
Toyota,Corolla,2017,1.1,Petrol,Semi-Automatic,15401,4,5
Ford,Focus,2003,2.0,Electric,Automatic,63899,3,2
Hyundai,Tucson,2013,3.7,Diesel,Semi-Automatic,250130,3,5
Audi,A3,2007,3.6,Diesel,Automatic,19512,4,3
Hyundai,Sonata,2003,3.5,Diesel,Semi-Automatic,97355,3,3
Toyota,Corolla,2017,1.6,Electric,Semi-Automatic,46400,3,3
Audi,A3,2005,4.8,Petrol,Manual,133567,5,2
Chevrolet,Impala,2007,2.0,Electric,Semi-Automatic,109453,3,3
Kia,Optima,2011,1.1,Diesel,Automatic,220420,2,4
Volkswagen,Golf,2011,1.8,Electric,Manual,265824,2,2
Volkswagen,Tiguan,2008,2.6,Electric,Automatic,271567,2,2
Toyota,Corolla,2022,4.9,Petrol,Manual,286358,2,3
Ford,Focus,2019,3.1,Diesel,Manual,64185,3,3
Audi,Q5,2004,2.5,Petrol,Automatic,261129,5,3
Chevrolet,Equinox,2000,2.6,Electric,Semi-Automatic,166188,2,4
Chevrolet,Equinox,2018,4.1,Petrol,Manual,151138,4,2
Honda,CR-V,2001,4.5,Hybrid,Manual,164665,2,2
Audi,Q5,2021,4.2,Diesel,Manual,16425,2,3
BMW,X5,2002,3.9,Electric,Automatic,207519,5,1
BMW,3 Series,2023,1.2,Hybrid,Manual,304,2,1
Chevrolet,Equinox,2021,1.0,Petrol,Semi-Automatic,263836,4,3
Volkswagen,Passat,2002,3.1,Diesel,Automatic,153222,5,2
Volkswagen,Passat,2018,3.5,Electric,Manual,44918,4,3
Chevrolet,Impala,2023,3.5,Electric,Manual,186677,2,4
BMW,3 Series,2020,2.5,Hybrid,Automatic,170703,5,4
Volkswagen,Tiguan,2003,3.5,Petrol,Manual,288928,3,3
Chevrolet,Equinox,2020,1.6,Petrol,Automatic,46525,5,1
Honda,CR-V,2001,4.7,Petrol,Automatic,146954,2,1
Volkswagen,Tiguan,2000,2.2,Electric,Semi-Automatic,237559,4,5
BMW,X5,2015,3.7,Petrol,Automatic,89557,4,4
Volkswagen,Tiguan,2019,4.7,Hybrid,Automatic,292565,5,5
Volkswagen,Golf,2010,2.5,Diesel,Manual,296480,2,3
BMW,X5,2002,3.3,Diesel,Semi-Automatic,244368,3,5
Hyundai,Elantra,2005,2.7,Hybrid,Automatic,45510,2,3
Kia,Rio,2022,4.7,Electric,Manual,170105,5,3
Volkswagen,Golf,2011,2.5,Electric,Automatic,94439,2,3
Volkswagen,Passat,2022,2.6,Diesel,Automatic,141331,5,1
Hyundai,Sonata,2021,4.0,Diesel,Manual,105522,5,5
Honda,Accord,2009,2.7,Petrol,Manual,217224,4,5
Volkswagen,Passat,2011,1.2,Diesel,Semi-Automatic,144904,5,5
BMW,3 Series,2009,1.9,Petrol,Semi-Automatic,22913,3,2
Audi,Q5,2008,2.8,Diesel,Automatic,227755,5,3
Ford,Fiesta,2023,3.8,Electric,Automatic,216961,5,4
Ford,Focus,2003,3.2,Petrol,Semi-Automatic,85005,3,1
Kia,Rio,2021,3.6,Petrol,Automatic,79401,4,3
Ford,Focus,2002,3.3,Hybrid,Manual,26697,3,5
Audi,A3,2022,3.0,Diesel,Manual,265987,5,5
Toyota,RAV4,2015,2.0,Diesel,Manual,125458,2,3
Honda,CR-V,2009,5.0,Petrol,Semi-Automatic,243936,4,5
Chevrolet,Malibu,2006,4.8,Petrol,Manual,252463,4,5
Honda,CR-V,2022,3.5,Petrol,Semi-Automatic,209432,4,5
Mercedes,GLA,2001,1.4,Diesel,Manual,105088,2,1
Honda,Accord,2023,1.9,Electric,Automatic,31933,2,3
Hyundai,Elantra,2011,3.9,Electric,Manual,58298,4,5
Chevrolet,Equinox,2021,3.1,Diesel,Manual,277817,5,3
Volkswagen,Tiguan,2014,1.1,Diesel,Automatic,89812,3,2
Honda,Accord,2019,2.6,Electric,Automatic,30363,2,1
Kia,Sportage,2015,3.2,Hybrid,Semi-Automatic,113979,5,3
Chevrolet,Malibu,2021,3.1,Electric,Automatic,159076,4,4
Ford,Focus,2003,4.6,Electric,Manual,177271,3,4
Mercedes,C-Class,2012,3.6,Electric,Semi-Automatic,23912,3,3
Audi,A3,2017,2.1,Petrol,Manual,139597,4,1
Ford,Fiesta,2007,1.3,Hybrid,Manual,32956,5,4
Kia,Rio,2018,2.9,Electric,Semi-Automatic,98160,2,4
Mercedes,GLA,2021,4.8,Diesel,Automatic,181278,2,4
Kia,Sportage,2020,1.1,Electric,Automatic,213443,5,4
Kia,Rio,2023,3.8,Diesel,Semi-Automatic,250150,5,4
Hyundai,Elantra,2001,1.7,Diesel,Manual,96682,3,2
Hyundai,Sonata,2009,2.5,Electric,Manual,148855,5,2
Volkswagen,Golf,2000,2.7,Petrol,Manual,245909,4,4
BMW,3 Series,2012,4.0,Diesel,Semi-Automatic,185073,5,1
Audi,A3,2008,1.1,Petrol,Semi-Automatic,248569,5,5
BMW,5 Series,2014,1.1,Diesel,Manual,219921,2,2
Audi,A4,2019,1.0,Diesel,Semi-Automatic,251842,5,1
BMW,5 Series,2010,4.4,Petrol,Automatic,100916,5,1
Audi,Q5,2006,4.2,Hybrid,Manual,175387,5,3
Honda,Accord,2017,2.6,Diesel,Manual,279367,5,1
Ford,Fiesta,2006,4.3,Electric,Automatic,128881,3,1
Honda,CR-V,2021,1.3,Hybrid,Automatic,295825,4,5
Honda,Civic,2001,2.7,Electric,Automatic,74508,4,1
Toyota,Camry,2009,1.8,Electric,Semi-Automatic,74482,4,1
Toyota,RAV4,2016,2.7,Electric,Semi-Automatic,150220,4,5
Ford,Fiesta,2014,3.2,Petrol,Automatic,253316,3,5
Toyota,RAV4,2016,1.6,Diesel,Semi-Automatic,41061,5,1
Volkswagen,Tiguan,2023,3.6,Petrol,Automatic,45801,4,4
Volkswagen,Tiguan,2020,4.4,Diesel,Automatic,132926,4,5
Kia,Optima,2012,4.7,Petrol,Automatic,124920,4,4
Hyundai,Elantra,2016,1.4,Diesel,Manual,132100,2,4
Volkswagen,Passat,2023,2.9,Electric,Semi-Automatic,142524,3,3
BMW,5 Series,2018,2.8,Petrol,Semi-Automatic,23722,5,5
BMW,3 Series,2002,1.4,Petrol,Manual,122799,2,1
BMW,5 Series,2006,2.5,Electric,Automatic,57444,2,1
Hyundai,Elantra,2004,3.4,Hybrid,Automatic,90326,4,3
Toyota,Corolla,2010,3.7,Hybrid,Automatic,236872,2,2
Mercedes,E-Class,2005,4.2,Electric,Automatic,207548,4,2
Kia,Optima,2012,2.9,Hybrid,Manual,259817,3,5
Ford,Fiesta,2013,4.9,Petrol,Manual,208159,4,1
Audi,A3,2012,4.0,Electric,Semi-Automatic,92692,3,2
Audi,A4,2005,4.2,Hybrid,Manual,116904,4,3
Volkswagen,Golf,2014,4.3,Electric,Manual,175693,3,4
BMW,5 Series,2002,3.2,Petrol,Semi-Automatic,215104,2,4
Toyota,Camry,2012,4.4,Electric,Manual,94413,3,4
Audi,A4,2005,1.8,Hybrid,Semi-Automatic,166364,2,3
BMW,5 Series,2014,3.7,Hybrid,Semi-Automatic,267929,4,1
Volkswagen,Tiguan,2017,3.1,Electric,Automatic,160266,5,1
Chevrolet,Equinox,2016,4.9,Diesel,Semi-Automatic,226208,5,3
Volkswagen,Golf,2005,1.6,Hybrid,Automatic,92903,3,1
Chevrolet,Impala,2010,2.7,Hybrid,Automatic,892,2,3
Volkswagen,Passat,2021,5.0,Petrol,Manual,183606,4,1
Volkswagen,Tiguan,2011,1.4,Petrol,Semi-Automatic,712,5,2
Chevrolet,Equinox,2005,2.5,Electric,Manual,296474,3,2
Kia,Sportage,2010,4.3,Electric,Automatic,86587,2,1
Kia,Rio,2016,4.5,Diesel,Semi-Automatic,186516,5,3
Toyota,Corolla,2003,2.7,Diesel,Manual,297911,3,2
Kia,Rio,2006,1.4,Petrol,Semi-Automatic,227710,5,3
Mercedes,C-Class,2008,1.9,Electric,Manual,13436,4,1
Honda,CR-V,2007,3.8,Electric,Automatic,160230,4,2
Audi,A3,2019,2.7,Electric,Manual,102946,5,4
Ford,Fiesta,2021,4.7,Petrol,Manual,182833,4,4
Hyundai,Elantra,2016,4.3,Electric,Manual,123202,4,1
BMW,3 Series,2010,3.2,Hybrid,Semi-Automatic,154894,3,5
Mercedes,C-Class,2009,2.7,Diesel,Manual,190357,4,5
Honda,Civic,2007,1.6,Electric,Semi-Automatic,84889,4,3
Chevrolet,Impala,2004,3.2,Petrol,Manual,74305,3,5
Volkswagen,Golf,2021,2.5,Electric,Automatic,151011,4,2
Mercedes,GLA,2017,4.2,Diesel,Semi-Automatic,112955,5,1
Volkswagen,Golf,2010,3.8,Electric,Manual,102003,5,5
Ford,Explorer,2000,1.4,Electric,Semi-Automatic,298968,5,1
Volkswagen,Golf,2000,3.4,Electric,Semi-Automatic,268243,2,4
Volkswagen,Tiguan,2006,4.2,Diesel,Automatic,72222,2,2
Honda,CR-V,2001,4.0,Hybrid,Automatic,35704,5,3
Ford,Fiesta,2016,2.8,Hybrid,Manual,224812,2,4
Ford,Focus,2012,3.4,Petrol,Manual,94189,5,2
Toyota,Camry,2003,1.1,Electric,Manual,120067,5,1
Audi,A4,2015,4.6,Electric,Automatic,75917,3,5
Honda,CR-V,2019,4.9,Hybrid,Manual,265884,2,1
Kia,Optima,2016,1.4,Diesel,Automatic,216284,3,2
Volkswagen,Tiguan,2015,4.2,Petrol,Manual,71375,2,3
Volkswagen,Tiguan,2020,1.7,Petrol,Automatic,195565,2,5
Ford,Fiesta,2007,5.0,Diesel,Manual,251657,2,1
Kia,Sportage,2021,2.4,Electric,Semi-Automatic,77443,2,5
Mercedes,GLA,2010,3.4,Electric,Automatic,212166,2,2
Chevrolet,Impala,2011,1.1,Hybrid,Semi-Automatic,108748,5,2
Honda,Accord,2022,4.4,Diesel,Manual,181785,2,3
